"date";"close";"return";"returnUS";"liquidity";"id";"close0"
2014-11-28;12,8;-4,7619047619;-6,7558744915;8,8955000832;"PETR";12,8
2014-12-01;12,32;-3,7499999999;-3,8363936153;8,5740428956;"PETR";12,32
2014-12-02;12,13;-1,5422077922;-1,6956644509;8,4790416359;"PETR";12,13
2014-12-03;12,73;4,9464138499;5,1800197229;8,5079020525;"PETR";12,73
2014-12-04;12,23;-3,9277297722;-4,6353210169;8,4904251753;"PETR";12,23
2014-12-05;12,26;0,2452984465;-0,10707802775;8,4560105275;"PETR";12,26
2014-12-08;11,5;-6,1990212072;-6,3256668212;8,0962984027;"PETR";11,5
2014-12-09;11,36;-1,2173913044;-1,5705117922;8,1886206662;"PETR";11,36
2014-12-10;10,83;-4,6654929577;-4,3529931273;8,2464582848;"PETR";10,83
2014-12-11;10,82;-0,092336103353;-1,3853438201;8,4132195249;"PETR";10,82
2014-12-12;10,11;-6,561922366;-7,5716643752;8,3517885568;"PETR";10,11
2014-12-15;9,18;-9,1988130564;-9,7391951624;8,4451548266;"PETR";9,18
2014-12-16;9,38;2,1786492376;-0,37926607756;8,4081304389;"PETR";9,38
2014-12-17;9,66;2,9850746268;3,5785069369;7,8058946236;"PETR";9,66
2014-12-18;9,46;-2,0703933747;0,022119587447;7,8751453831;"PETR";9,46
2014-12-19;9,83;3,9112050739;4,6566226139;7,9844122296;"PETR";9,83
2014-12-22;10,32;4,98474059;4,8224766944;8,2158777432;"PETR";10,32
2014-12-23;10,97;6,2984496124;5,3138738696;8,2304810149;"PETR";10,97
2014-12-24;NA;NA;NA;NA;"PETR";0
2014-12-25;NA;NA;NA;NA;"PETR";0
2014-12-26;10,3;-6,1075660893;-6,237135687;7,9083706583;"PETR";10,3
2014-12-29;10,28;-0,19417475733;-0,086107366315;7,657548835;"PETR";10,28
2014-12-30;10,02;-2,5291828793;-1,7182104156;7,5867250082;"PETR";10,02
2014-12-31;NA;NA;NA;NA;"PETR";0
